iter	Logloss
0	0.477411907
1	0.385162254
2	0.3166093743
3	0.2837245734
4	0.2531610326
5	0.2360058951
6	0.2257000975
7	0.2059207097
8	0.1925010654
9	0.1873422558
10	0.1794729971
11	0.174134534
12	0.1695678162
13	0.1649920301
14	0.1624465646
15	0.1605221458
16	0.1574782644
17	0.1549633732
18	0.1531194258
19	0.1510360925
20	0.1491712567
21	0.1482033112
22	0.1430526857
23	0.1425980197
24	0.1400548821
25	0.1387756565
26	0.1346381875
27	0.1338614273
28	0.1329848914
29	0.1298619765
30	0.1286429143
31	0.1278599341
32	0.1273730444
33	0.1232124869
34	0.1222167696
35	0.1215065929
36	0.1198318897
37	0.119542164
38	0.1187330182
39	0.1180696863
40	0.116973741
41	0.1166024803
42	0.1160043799
43	0.1158574301
44	0.1140202185
45	0.1133198902
46	0.1129616635
47	0.1127336371
48	0.112066917
49	0.1114953649
