iter	Passed	Remaining
0	15	15000
1	29	14735
2	44	14913
3	59	14904
4	74	14874
5	88	14727
6	102	14593
7	117	14631
8	131	14524
9	146	14490
10	159	14377
11	172	14240
12	187	14251
13	201	14214
14	216	14231
15	233	14332
16	247	14305
17	260	14238
18	275	14211
19	289	14173
20	302	14112
21	316	14072
22	331	14081
23	345	14036
24	359	14003
25	373	13975
26	388	13982
27	402	13975
28	416	13960
29	433	14027
30	448	14018
31	462	14003
32	477	13980
33	490	13939
34	504	13898
35	517	13850
36	530	13809
37	544	13792
38	558	13760
39	572	13741
40	586	13712
41	599	13683
42	615	13693
43	630	13709
44	646	13721
45	660	13703
46	674	13668
47	688	13657
48	703	13645
49	718	13656
50	733	13646
51	749	13657
52	762	13620
53	776	13603
54	790	13576
55	803	13547
56	816	13508
57	830	13489
58	848	13525
59	862	13515
60	876	13494
61	890	13478
62	904	13454
63	918	13435
64	933	13431
65	947	13410
66	962	13399
67	975	13369
68	989	13350
69	1002	13313
70	1017	13310
71	1032	13312
72	1051	13353
73	1079	13513
74	1096	13517
75	1113	13543
76	1128	13526
77	1143	13518
78	1160	13526
79	1175	13523
80	1191	13522
81	1207	13514
82	1222	13503
83	1235	13472
84	1249	13449
85	1264	13440
86	1278	13415
87	1292	13397
88	1306	13376
89	1320	13350
90	1333	13322
91	1347	13302
92	1361	13279
93	1375	13259
94	1388	13229
95	1402	13206
96	1416	13185
97	1429	13153
98	1443	13134
99	1456	13108
100	1470	13090
101	1486	13088
102	1507	13130
103	1522	13114
104	1535	13088
105	1548	13063
106	1563	13045
107	1577	13031
108	1590	13005
109	1604	12983
110	1617	12957
111	1631	12934
112	1645	12916
113	1658	12891
114	1672	12871
115	1686	12851
116	1702	12845
117	1717	12834
118	1731	12817
119	1745	12803
120	1759	12785
121	1773	12760
122	1787	12745
123	1801	12730
124	1815	12709
125	1829	12689
126	1842	12665
127	1856	12648
128	1870	12628
129	1885	12616
130	1898	12596
131	1913	12584
132	1929	12575
133	1942	12556
134	1956	12539
135	1970	12518
136	1984	12502
137	1998	12485
138	2012	12466
139	2026	12448
140	2040	12429
141	2053	12409
142	2067	12388
143	2081	12371
144	2095	12355
145	2109	12338
146	2135	12389
147	2149	12373
148	2162	12349
149	2177	12337
150	2191	12322
151	2207	12313
152	2220	12293
153	2233	12271
154	2247	12254
155	2261	12235
156	2274	12214
157	2288	12197
158	2303	12181
159	2316	12161
160	2332	12152
161	2346	12138
162	2360	12122
163	2374	12104
164	2388	12085
165	2403	12073
166	2417	12057
167	2431	12043
168	2445	12024
169	2458	12005
170	2472	11987
171	2486	11970
172	2500	11953
173	2515	11939
174	2529	11925
175	2545	11915
176	2560	11905
177	2574	11886
178	2589	11877
179	2602	11858
180	2616	11840
181	2632	11831
182	2645	11811
183	2658	11791
184	2673	11777
185	2688	11765
186	2701	11745
187	2715	11728
188	2729	11710
189	2743	11696
190	2757	11681
191	2773	11669
192	2787	11655
193	2801	11637
194	2816	11625
195	2830	11611
196	2844	11595
197	2858	11579
198	2871	11560
199	2885	11541
200	2900	11531
201	2914	11513
202	2928	11498
203	2942	11481
204	2956	11465
205	2969	11445
206	2990	11457
207	3004	11439
208	3018	11423
209	3033	11413
210	3047	11394
211	3060	11374
212	3074	11359
213	3088	11342
214	3101	11322
215	3114	11305
216	3129	11290
217	3142	11273
218	3155	11252
219	3169	11236
220	3184	11224
221	3198	11210
222	3213	11196
223	3229	11186
224	3245	11178
225	3261	11169
226	3277	11160
227	3291	11145
228	3307	11136
229	3323	11124
230	3338	11113
231	3353	11101
232	3369	11092
233	3384	11079
234	3400	11069
235	3416	11059
236	3429	11042
237	3445	11032
238	3459	11015
239	3474	11002
240	3489	10990
241	3503	10972
242	3516	10954
243	3530	10939
244	3543	10920
245	3556	10901
246	3570	10884
247	3583	10867
248	3597	10850
249	3613	10841
250	3628	10827
251	3643	10813
252	3657	10799
253	3671	10782
254	3684	10763
255	3696	10744
256	3710	10726
257	3723	10709
258	3736	10691
259	3751	10676
260	3764	10659
261	3778	10641
262	3792	10628
263	3808	10618
264	3823	10604
265	3837	10589
266	3852	10575
267	3867	10562
268	3880	10544
269	3895	10531
270	3909	10516
271	3923	10500
272	3936	10484
273	3950	10467
274	3964	10453
275	3978	10437
276	3991	10419
277	4005	10402
278	4019	10386
279	4034	10375
280	4048	10358
281	4063	10344
282	4076	10328
283	4090	10312
284	4103	10294
285	4117	10279
286	4130	10262
287	4144	10245
288	4158	10231
289	4172	10216
290	4186	10200
291	4200	10183
292	4214	10168
293	4228	10153
294	4243	10141
295	4257	10125
296	4272	10111
297	4286	10096
298	4300	10083
299	4314	10067
300	4328	10052
301	4342	10037
302	4356	10020
303	4370	10006
304	4390	10005
305	4405	9990
306	4420	9978
307	4446	9989
308	4459	9972
309	4473	9956
310	4487	9942
311	4500	9924
312	4514	9908
313	4527	9891
314	4541	9875
315	4555	9859
316	4568	9843
317	4582	9828
318	4597	9814
319	4612	9801
320	4626	9785
321	4640	9770
322	4656	9760
323	4672	9748
324	4687	9735
325	4701	9721
326	4716	9707
327	4730	9691
328	4742	9672
329	4756	9656
330	4769	9640
331	4782	9623
332	4797	9608
333	4811	9594
334	4825	9578
335	4837	9560
336	4852	9546
337	4869	9536
338	4883	9522
339	4898	9508
340	4912	9492
341	4925	9477
342	4939	9461
343	4953	9445
344	4966	9429
345	4980	9413
346	4993	9397
347	5008	9383
348	5022	9368
349	5035	9351
350	5049	9336
351	5063	9321
352	5077	9306
353	5092	9293
354	5107	9279
355	5121	9264
356	5135	9248
357	5149	9234
358	5162	9218
359	5175	9201
360	5190	9186
361	5203	9171
362	5218	9157
363	5234	9145
364	5247	9129
365	5261	9115
366	5276	9101
367	5290	9086
368	5306	9075
369	5320	9059
370	5335	9045
371	5349	9030
372	5363	9015
373	5376	8999
374	5390	8984
375	5403	8968
376	5417	8952
377	5432	8938
378	5448	8927
379	5465	8916
380	5480	8904
381	5495	8891
382	5513	8881
383	5529	8869
384	5544	8856
385	5558	8842
386	5574	8829
387	5589	8816
388	5604	8803
389	5619	8789
390	5633	8774
391	5648	8760
392	5662	8746
393	5677	8733
394	5691	8717
395	5705	8702
396	5720	8688
397	5735	8675
398	5749	8660
399	5763	8645
400	5777	8630
401	5790	8613
